Date,Open,High,Low,Close,Adjusted_close,Volume
7/22/2010,1.75,1.75,1.75,1.75,1.75,1000
7/28/2010,1.75,1.75,1,1.75,1.75,38520
8/10/2010,1.1,1.7,1,1.7,1.7,5623.2
8/18/2010,2,2,1.55,1.7,1.7,35250.2
8/23/2010,1.7,1.7,1.7,1.7,1.7,8020
9/1/2010,1.7,3.2,1.5,2.15,2.15,16155.4
9/9/2010,1.95,1.95,1.95,1.95,1.95,2000
9/15/2010,1.95,1.95,1.95,1.95,1.95,8000
10/21/2010,1.4,1.7,1.4,1.7,1.7,1820
10/26/2010,1.4,1.65,1.05,1.6,1.6,4582.6
11/1/2010,1.05,1.7,1.05,1.7,1.7,828
11/18/2010,1.15,1.15,1.15,1.15,1.15,41.4
11/23/2010,1.7,1.7,1.7,1.7,1.7,20
11/30/2010,1.15,1.7,1.15,1.7,1.7,364.4
12/8/2010,1.5,1.7,1.5,1.7,1.7,4055.6
12/14/2010,1.15,1.7,1.15,1.7,1.7,62.4
12/22/2010,1.7,1.7,1.15,1.6,1.6,8280.8
12/30/2010,1.15,1.45,1.15,1.45,1.45,60
1/3/2011,1.15,1.4,1.15,1.4,1.4,87.4
1/27/2011,1.4,1.4,1.4,1.4,1.4,20
1/31/2011,1.15,1.4,0.75,1.4,1.4,11338.6
2/9/2011,1.25,1.25,1.2,1.25,1.25,68404.6
2/14/2011,1.25,1.35,1,1.25,1.25,138776
2/24/2011,0.85,1.2,0.85,1.1,1.1,10377.6
2/28/2011,0.85,1.25,0.85,1.2,1.2,36519.6
3/7/2011,1.2,2.25,1.15,2.2,2.2,763922.8
3/14/2011,2.2,2.5,2.05,2.3,2.3,76250.8
3/21/2011,2.3,3.7,2.2,2.45,2.45,124357
3/28/2011,3,3,2.4,2.95,2.95,139107.4
4/4/2011,2.75,2.95,2.5,2.5,2.5,34712.6
4/11/2011,2.75,2.75,2.25,2.5,2.5,65388
4/18/2011,2.5,2.5,2.25,2.25,2.25,32054.4
4/25/2011,2.35,2.6,2.05,2.35,2.35,220760
5/2/2011,2,2.4,1.5,2.4,2.4,10423.8
5/9/2011,2.4,2.4,2,2.15,2.15,15064.4
5/16/2011,2.15,2.2,1.55,1.95,1.95,281940
5/23/2011,1.95,2.4,1.75,2.1,2.1,425220
5/31/2011,2.2,2.45,2.15,2.25,2.25,142795
6/6/2011,2.25,3.2,2,2.375,2.375,604785
6/13/2011,2.4,2.45,2.15,2.15,2.15,207560
6/20/2011,2.25,2.35,2.25,2.3,2.3,133142.4
6/27/2011,2.3,2.35,2.15,2.3,2.3,161048.2
7/5/2011,2.3,2.95,2.3,2.95,2.95,223037.2
7/11/2011,2.9,3.75,2.75,3,3,28061.2
7/18/2011,2.975,3.645,2.75,3.15,3.15,89854
7/25/2011,3.1,4.25,2.85,3.75,3.75,183831.4
8/1/2011,3.75,3.75,2.85,3.6,3.6,37070
8/8/2011,2.755,3.75,2.755,3.7,3.7,67667.2
8/15/2011,3.7,3.7,2.95,3.3,3.3,36771.4
8/22/2011,3.25,3.5,2.75,3.175,3.175,43920
8/29/2011,3,3.25,2.3,3.25,3.25,9320
9/6/2011,3.25,3.4,2.605,3.4,3.4,28459.2
9/12/2011,3.3,3.3,2.65,2.675,2.675,25607.4
9/19/2011,2.8,3.25,2.6,3.25,3.25,47447.6
9/26/2011,3.15,3.25,2.85,3.245,3.245,16582
10/3/2011,2.9,3.25,2.85,3,3,46067.4
10/10/2011,2.85,3.25,2.75,3,3,38188
10/17/2011,3,3.25,2.85,3.25,3.25,36322.6
10/24/2011,3,3.25,2.5,3.25,3.25,84177.4
11/1/2011,3.15,3.15,2.605,3.15,3.15,3120
11/7/2011,3.15,3.25,3.15,3.25,3.25,10376
11/14/2011,3.25,3.25,3,3.25,3.25,1140
11/22/2011,2.9,3.15,2.15,3.15,3.15,26024
11/28/2011,2.95,3.1,2.85,3.1,3.1,12940
12/6/2011,3.1,3.15,2.45,3,3,8480
12/13/2011,2.95,3.15,2.85,3.15,3.15,4637.8
12/20/2011,2.85,3.1,2.85,3.1,3.1,560
12/27/2011,3.15,3.5,2.105,3.25,3.25,48771
1/3/2012,3.25,4,3.25,3.5,3.5,79210
1/9/2012,3.5,3.75,2.85,3.25,3.25,50280
1/17/2012,3.75,3.75,3.25,3.5,3.5,134459.8
1/23/2012,3.35,3.35,2.9,3.25,3.25,2980
1/30/2012,3.25,3.75,3.25,3.75,3.75,10969.6
2/6/2012,3.85,4,3.15,3.5,3.5,188783.6
2/13/2012,3.75,4.35,3.75,4.25,4.25,70500
2/21/2012,3.85,4.3,3.5,3.75,3.75,20310
2/27/2012,3.5,3.75,3.25,3.75,3.75,33891.6
3/5/2012,3.5,3.75,3.3,3.5,3.5,59852.8
3/12/2012,4,4.5,3.75,4.25,4.25,30832
3/19/2012,4.25,4.95,4.25,4.7,4.7,101102
3/26/2012,4.5005,4.75,4.2,4.675,4.675,193230
4/2/2012,4.7,4.75,4.6,4.75,4.75,21100
4/9/2012,4.6,5.1,4.4,5,5,94730.6
4/16/2012,4.9995,5.25,4.425,5.05,5.05,78449.6
4/23/2012,5.05,5.05,4.6,4.9,4.9,5187
4/30/2012,4.9,5,4.5,5,5,35653.8
5/8/2012,4.75,4.85,4.5,4.65,4.65,25772.2
5/14/2012,4.65,4.9,4.4,4.7,4.7,60754.6
5/22/2012,4.6,4.65,3.75,4.5,4.5,21220
5/29/2012,4.5,4.5,3.7,4.25,4.25,22374
6/4/2012,3.75,4.45,3.75,4.15,4.15,91376.4
6/12/2012,4.1,4.1,3.65,3.95,3.95,5590
6/18/2012,3.95,3.95,3.6,3.6,3.6,1814.4
6/25/2012,3.6,4.25,3.6,3.75,3.75,74505.4
7/2/2012,3.75,4,3.25,3.95,3.95,12108
7/9/2012,3.9,4.05,3.725,4.05,4.05,7920
7/16/2012,4.025,4.25,3.9,4,4,32611.6
7/23/2012,3.75,4.05,3.6,4.05,4.05,26693.8
7/30/2012,3.75,4.05,3.6,3.9,3.9,19475
8/6/2012,3.75,4,3.6,3.85,3.85,35175
8/14/2012,3.7,4.05,3.65,4,4,89150
8/20/2012,4,4.25,3.75,4.25,4.25,112220
8/27/2012,4.25,4.25,3.8,4.24,4.24,38013
9/4/2012,4.235,4.25,3.85,4.1,4.1,9730.6
9/11/2012,4.1,4.225,3.75,4.22,4.22,51920
9/17/2012,4.2,4.2,3.85,4.1,4.1,22620
9/24/2012,4.1,4.15,3.85,4.1,4.1,6857.4
10/1/2012,4.1,4.1,3.95,4.095,4.095,3700
10/8/2012,4.095,4.145,4.05,4.05,4.05,9240
10/15/2012,4.025,4.1495,3.16,3.95,3.95,34835.2
10/22/2012,3.75,3.95,3.6,3.8,3.8,8040
10/31/2012,3.75,4,3.75,4,4,18320
11/5/2012,3.9,4.05,3.75,3.95,3.95,21080
11/12/2012,3.8,3.8,3.4,3.75,3.75,12820
11/19/2012,3.75,3.8,3.15,3.5,3.5,8580
11/26/2012,3.7,3.9995,3.4,3.5,3.5,13200
12/3/2012,3.5,4.2,3.5,3.9,3.9,74084.4
12/10/2012,4,4,3.4,3.6,3.6,25272.2
12/17/2012,3.4255,3.745,3.25,3.65,3.65,60356.2
12/24/2012,3.495,3.7,3,3.65,3.65,28647
12/31/2012,3.65,3.995,3.65,3.75,3.75,62233
1/7/2013,3.95,3.95,3.55,3.55,3.55,17660.2
1/14/2013,3.55,3.905,3.3,3.55,3.55,73040
1/22/2013,3.795,3.8,3.4,3.8,3.8,78032.2
1/28/2013,3.8,3.85,3.6,3.7,3.7,16500
2/4/2013,3.75,3.75,3.55,3.55,3.55,17633.2
2/11/2013,3.5,3.75,3.45,3.525,3.525,33448.6
2/19/2013,3.6,4.25,3.45,4.25,4.25,104784.2
2/25/2013,4.25,4.55,4.1,4.5,4.5,62830.8
3/4/2013,4.5,4.9,3.7,4.5,4.5,80634.6
3/12/2013,4.7,4.7,4.25,4.625,4.625,46660.4
3/18/2013,4.575,4.6,4.05,4.475,4.475,30050
3/25/2013,4.45,4.7,4.16,4.65,4.65,44519.2
4/1/2013,4.5,4.55,3.95,4.2,4.2,26398.2
4/8/2013,4.225,4.55,3.8105,4.4,4.4,74135
4/15/2013,6,6,4,4.5,4.5,64242
4/22/2013,4.5,4.75,4,4.5,4.5,167541
4/29/2013,4.35,4.75,4.24,4.3,4.3,96448
5/6/2013,4.15,4.3,4,4.2,4.2,237210
5/13/2013,4.1,4.2,3.9,3.9,3.9,116770
5/20/2013,3.95,4.24,3.95,4,4,169714
5/28/2013,4,4.8,3.8,4.48,4.48,110989
6/3/2013,4.45,4.65,4.25,4.39,4.39,141146
6/10/2013,4.4,4.75,4.35,4.45,4.45,108093
6/17/2013,4.47,4.94,4.27,4.27,4.27,353433
6/24/2013,4.49,4.94,4.17,4.45,4.45,317693
7/1/2013,4.359,4.789,4.2,4.27,4.27,46231
7/8/2013,4.251,4.38,3.4,4.162,4.162,153456
7/15/2013,4.24,4.32,3.6101,4,4,179929
7/22/2013,3.985,4.15,3.44,3.84,3.84,201934
7/29/2013,3.79,4,3.39,3.79,3.79,121902
8/5/2013,3.72,3.92,3.5018,3.76,3.76,143335
8/12/2013,3.8,3.85,2.34,2.47,2.47,1747195
8/19/2013,2.47,2.55,2.31,2.53,2.53,760542
8/26/2013,2.53,2.53,2.35,2.41,2.41,274272
9/3/2013,2.45,2.4783,2.38,2.41,2.41,389763
9/9/2013,2.55,2.85,2.5,2.63,2.63,2386793
9/16/2013,2.5701,2.84,2.5701,2.75,2.75,904019
9/23/2013,2.76,2.88,2.5801,2.73,2.73,645327
9/30/2013,2.71,2.84,2.59,2.75,2.75,727576
10/7/2013,2.65,2.78,2.55,2.67,2.67,306639
10/14/2013,2.6214,2.98,2.6214,2.89,2.89,954620
10/21/2013,2.96,3.29,2.8,3.14,3.14,1000634
10/28/2013,3.14,3.14,2.68,2.72,2.72,318622
11/4/2013,2.87,2.95,2.42,2.84,2.84,579077
11/11/2013,2.8,2.93,2.58,2.8,2.8,408163
11/18/2013,2.72,3.05,2.59,2.69,2.69,605164
11/25/2013,2.7,2.74,2.5,2.61,2.61,219331
12/2/2013,2.64,2.65,2.36,2.43,2.43,148596
12/9/2013,2.4999,2.4999,2.28,2.39,2.39,175582
12/16/2013,2.399,2.8,2.31,2.52,2.52,629535
12/23/2013,2.61,2.92,2.4,2.57,2.57,422290
12/30/2013,2.71,2.8,2.55,2.77,2.77,154586
1/6/2014,2.8,3.1,2.6,2.99,2.99,859652
1/13/2014,3,3.44,2.67,3.19,3.19,1717388
1/21/2014,3.29,3.95,3.06,3.71,3.71,1808957
1/27/2014,3.67,4.25,3.34,4.17,4.17,1289842
2/3/2014,4.2,4.2,3.75,3.87,3.87,569521
2/10/2014,4.09,4.29,3.93,4.01,4.01,998783
2/18/2014,4.08,4.38,4.01,4.12,4.12,714314
2/24/2014,4.14,4.89,3.995,4.86,4.86,1407445
3/3/2014,4.8,4.849,4.051,4.24,4.24,4438579
3/10/2014,4.19,4.242,3.8,3.92,3.92,2040360
3/17/2014,3.98,4.25,3.88,4.15,4.15,2554024
3/24/2014,4.12,4.3399,3.63,4.01,4.01,3794079
3/31/2014,4.13,4.13,3.51,3.7,3.7,1856713
4/7/2014,3.65,3.72,3.37,3.5,3.5,1276957
4/14/2014,3.53,3.55,3.113,3.48,3.48,820981
4/21/2014,3.52,4.07,3.5,4.01,4.01,1909779
4/28/2014,3.95,4.05,3.61,3.76,3.76,643420
5/5/2014,3.8,3.8,3.112,3.25,3.25,1033725
5/12/2014,3.24,3.73,3.24,3.61,3.61,849839
5/19/2014,3.62,3.88,3.55,3.81,3.81,318067
5/27/2014,3.83,3.89,3.62,3.68,3.68,454249
6/2/2014,3.67,3.67,3.3,3.37,3.37,745680
6/9/2014,3.38,3.76,3.24,3.58,3.58,1219665
6/16/2014,3.6,3.89,3.48,3.8,3.8,520261
6/23/2014,3.8,4.12,3.7,4.12,4.12,1021543
6/30/2014,4.18,4.25,3.81,4.25,4.25,1079591
7/7/2014,4.23,4.23,3.63,3.66,3.66,1166021
7/14/2014,3.73,4.09,3.66,3.95,3.95,952973
7/21/2014,3.96,4.13,3.87,3.9,3.9,406084
7/28/2014,3.95,3.95,3.326,3.45,3.45,528537
8/4/2014,3.4828,3.68,3.15,3.34,3.34,791975
8/11/2014,3.35,4.14,3.09,3.81,3.81,3674299
8/18/2014,3.77,6,3.75,5.85,5.85,5288197
8/25/2014,5.79,5.79,4.99,5.45,5.45,3109327
9/2/2014,5.5,5.5,5,5.22,5.22,2311525
9/8/2014,5.22,6.47,4.61,5.41,5.41,8480056
9/15/2014,5.19,5.43,4.85,4.95,4.95,2463709
9/22/2014,4.85,5.14,4.66,4.78,4.78,2464856
9/29/2014,4.67,5,4.03,4.36,4.36,2871892
10/6/2014,4.36,4.46,3.8,4.08,4.08,1409719
10/13/2014,4.11,4.6,3.825,4.38,4.38,1151770
10/20/2014,4.39,4.49,3.64,3.77,3.77,1597870
10/27/2014,3.73,3.96,3.601,3.83,3.83,2041835
11/3/2014,3.84,3.9,3.14,3.63,3.63,1963628
11/10/2014,3.62,3.63,2.915,3.19,3.19,2048337
11/17/2014,3.15,3.3,3.01,3.17,3.17,1580513
11/24/2014,3.12,3.2,2.96,3.06,3.06,1091561
12/1/2014,3.04,3.59,2.93,3.51,3.51,1015038
12/8/2014,3.5,3.53,3.21,3.51,3.51,782526
12/15/2014,3.51,3.63,3.26,3.33,3.33,958781
12/22/2014,3.3,3.51,3.07,3.22,3.22,543848
12/29/2014,3.26,3.55,3.17,3.55,3.55,629418
1/5/2015,3.51,3.55,3.1,3.25,3.25,1095924
1/12/2015,3.25,3.52,2.93,3.26,3.26,1785871
1/20/2015,3.1,3.5,2.88,2.89,2.89,667226
1/26/2015,2.85,3.45,2.75,3.33,3.33,613909
2/2/2015,3.45,3.45,2.955,3.17,3.17,416578
2/9/2015,3.31,3.56,3.04,3.53,3.53,751162
2/17/2015,3.3,3.59,3.19,3.32,3.32,532347
2/23/2015,3.36,4,3.2,3.61,3.61,1520389
3/2/2015,3.55,4.16,3.55,3.94,3.94,1208761
3/9/2015,3.97,4.01,3.63,3.77,3.77,474775
3/16/2015,3.71,4.05,3.25,3.51,3.51,1213924
3/23/2015,3.55,3.63,3.09,3.17,3.17,598203
3/30/2015,3.15,3.44,3.07,3.34,3.34,763998
4/6/2015,3.3,3.6,3.22,3.59,3.59,1275211
4/13/2015,3.62,4.2,3.55,4.03,4.03,1510142
4/20/2015,4.01,4.06,3.73,3.83,3.83,678502
4/27/2015,3.85,3.97,3.41,3.52,3.52,855424
5/4/2015,3.5,3.9599,3.48,3.85,3.85,1275955
5/11/2015,3.86,3.878,3.62,3.82,3.82,805528
5/18/2015,3.88,4.31,3.77,4.23,4.23,1094737
5/26/2015,4.21,4.39,4.06,4.18,4.18,1104222
6/1/2015,4.18,4.18,3.79,4.03,4.03,812520
6/8/2015,4.02,4.34,3.5,3.59,3.59,1884402
6/15/2015,3.53,3.58,3,3.13,3.13,2732469
6/22/2015,3.18,3.49,3.15,3.32,3.32,7139836
6/29/2015,3.34,3.4,2.87,2.88,2.88,907424
7/6/2015,2.85,3.08,2.58,2.96,2.96,2055496
7/13/2015,2.97,3.02,2.65,2.69,2.69,1051041
7/20/2015,2.7,2.7,2.52,2.54,2.54,886797
7/27/2015,2.54,2.81,2.3,2.43,2.43,1806410
8/3/2015,2.43,2.66,2.21,2.55,2.55,3304558
8/10/2015,2.55,2.59,2.21,2.36,2.36,1472018
8/17/2015,2.34,2.46,2.23,2.36,2.36,994841
8/24/2015,2.25,2.437,2.2,2.43,2.43,1050220
8/31/2015,2.41,2.64,2.1,2.1,2.1,2067100
9/8/2015,2.14,2.3,1.91,2.06,2.06,1009306
9/14/2015,2.06,2.2,1.9,2.11,2.11,1235949
9/21/2015,2.17,2.17,1.68,1.77,1.77,1556936
9/28/2015,1.76,1.9,1.59,1.77,1.77,1260481
10/5/2015,1.79,1.97,1.75,1.75,1.75,1339856
10/12/2015,1.75,1.78,1.58,1.64,1.64,1294597
10/19/2015,1.62,1.8,1.48,1.68,1.68,2252701
10/26/2015,1.7,1.8,1.615,1.66,1.66,1809199
11/2/2015,1.63,1.68,1.48,1.61,1.61,1373622
11/9/2015,1.61,1.66,1.42,1.43,1.43,1131839
11/16/2015,1.43,1.55,1.39,1.49,1.49,2382178
11/23/2015,1.5,1.55,1.47,1.49,1.49,1131976
